City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,Carutapera,-1.195,-46.02,77.99,86,70,5.23,BR,2021-01-27 23:33:08
173,Port Alfred,-33.5906,26.891,62.01,92,52,11.72,ZA,2021-01-27 23:33:09
174,Lebu,-37.6167,-73.65,58.26,81,97,9.28,CL,2021-01-27 23:33:09
175,Bredasdorp,-34.5322,20.0403,53.6,82,75,3.44,ZA,2021-01-27 23:33:09
176,Kamina,-8.7386,24.9906,64.6,94,78,3.29,CD,2021-01-27 23:33:09
177,Pajan,-1.5667,-80.4167,76.14,84,68,3.69,EC,2021-01-27 23:33:09
178,Jamestown,42.097,-79.2353,23.0,93,90,5.14,US,2021-01-27 23:33:09
179,Komsomolskiy,40.4272,71.7189,28.4,64,0,6.91,UZ,2021-01-27 23:33:09
180,Atar,20.5169,-13.0499,69.6,20,0,9.89,MR,2021-01-27 23:33:09
181,Vilyuysk,63.7553,121.6247,-46.88,77,98,2.86,RU,2021-01-27 23:33:10
182,Ndioum,16.5129,-14.6471,71.6,30,0,2.3,SN,2021-01-27 23:33:10
183,Gazimurskiy Zavod,51.5461,118.3266,-26.52,83,98,2.04,RU,2021-01-27 23:33:10
184,Dikson,73.5069,80.5464,-22.34,86,100,10.49,RU,2021-01-27 23:33:10
185,Kudahuvadhoo,2.6708,72.8944,79.7,72,62,16.17,MV,2021-01-27 23:33:10
186,Salalah,17.0151,54.0924,68.0,73,0,2.3,OM,2021-01-27 23:33:10
187,Hamilton,39.1834,-84.5333,30.2,93,90,5.75,US,2021-01-27 23:33:10
188,Comodoro Rivadavia,-45.8667,-67.5,62.6,59,40,5.75,AR,2021-01-27 23:30:01
189,Tezu,27.9167,96.1667,56.39,33,0,4.54,IN,2021-01-27 23:33:11
190,Castlerea,53.7667,-8.5,51.01,96,100,8.01,IE,2021-01-27 23:33:11
191,Minot,48.2325,-101.2963,5.0,72,1,10.36,US,2021-01-27 23:33:11
192,Valdivia,-39.8142,-73.2459,60.8,77,90,9.22,CL,2021-01-27 23:33:11
193,Fairbanks,64.8378,-147.7164,1.0,77,40,1.34,US,2021-01-27 23:32:36
194,Yanam,16.7333,82.2167,70.14,88,24,1.97,IN,2021-01-27 23:33:11
195,Saint-Philippe,-21.3585,55.7679,78.8,61,0,8.05,RE,2021-01-27 23:33:11
196,Mahebourg,-20.4081,57.7,73.4,88,20,8.05,MU,2021-01-27 23:33:12
197,Bria,6.5423,21.9863,75.81,29,99,4.81,CF,2021-01-27 23:33:12
198,Fruitvale,39.0817,-108.4968,35.6,44,90,6.46,US,2021-01-27 23:32:59
199,Tsiroanomandidy,-18.7667,46.0333,69.21,90,88,0.43,MG,2021-01-27 23:28:51
200,Cururupu,-1.8283,-44.8683,76.6,90,77,2.77,BR,2021-01-27 23:33:12
201,Holoby,51.0865,25.0077,27.27,98,100,9.98,UA,2021-01-27 23:33:12
202,Kerman,30.2832,57.0788,24.8,30,0,6.91,IR,2021-01-27 23:33:12
203,Taybad,34.74,60.7756,37.9,63,0,3.18,IR,2021-01-27 23:33:12
204,Yar-Sale,66.8333,70.8333,-36.09,82,81,6.6,RU,2021-01-27 23:33:12
205,Merritt Island,28.5392,-80.672,82.4,54,40,9.22,US,2021-01-27 23:33:13
206,Zhangjiakou,40.81,114.8794,2.57,61,2,24.23,CN,2021-01-27 23:33:13
207,Narsaq,60.9167,-46.05,37.4,35,75,27.63,GL,2021-01-27 23:33:13
208,Witney,51.7836,-1.4854,46.99,100,75,5.75,GB,2021-01-27 23:33:13
209,Klaksvik,62.2266,-6.589,30.2,74,75,5.75,FO,2021-01-27 23:33:13
210,Paita,-5.0892,-81.1144,78.8,69,75,12.66,PE,2021-01-27 23:33:13
211,Saldanha,-33.0117,17.9442,62.6,67,0,14.97,ZA,2021-01-27 23:33:13
212,Jinchang,38.4953,102.1739,19.47,70,0,3.6,CN,2021-01-27 23:33:13
213,Bambous Virieux,-20.3428,57.7575,75.99,88,20,8.05,MU,2021-01-27 23:33:14
214,Mount Gambier,-37.8333,140.7667,69.8,60,46,14.97,AU,2021-01-27 23:33:14
215,College,64.8569,-147.8028,1.0,77,40,1.68,US,2021-01-27 23:28:52
216,Matane,48.8286,-67.522,26.6,68,60,2.3,CA,2021-01-27 23:33:14
217,Solnechnyy,50.7214,136.6319,-9.15,85,98,1.92,RU,2021-01-27 23:33:14
218,Ilyich,40.8464,68.5067,33.4,87,0,2.04,KZ,2021-01-27 23:33:14
219,Whitley Bay,55.0397,-1.4471,39.99,93,90,2.3,GB,2021-01-27 23:30:56
220,Saint-Paul,-21.0096,55.2707,73.4,78,0,5.75,RE,2021-01-27 23:28:28
221,Cortez,37.3489,-108.5859,30.2,59,90,5.75,US,2021-01-27 23:33:15
222,Amapa,1.0,-52.0,72.77,98,100,3.62,BR,2021-01-27 23:33:15
223,Mawlaik,23.6333,94.4167,57.87,83,1,1.34,MM,2021-01-27 23:33:15
224,Dillon,34.4166,-79.3712,55.99,94,90,3.44,US,2021-01-27 23:33:15
225,Sao Joaquim,-28.2939,-49.9317,61.09,100,96,4.56,BR,2021-01-27 23:33:15
226,Arraial Do Cabo,-22.9661,-42.0278,77.0,78,0,16.11,BR,2021-01-27 23:33:15
227,Slave Lake,55.2834,-114.769,5.0,72,90,1.66,CA,2021-01-27 23:30:13
228,Mtwango,-9.0167,34.8,57.51,100,90,4.52,TZ,2021-01-27 23:33:15
229,Benguela,-12.5763,13.4055,75.2,79,100,4.63,AO,2021-01-27 23:33:15
230,Orangevale,38.6785,-121.2258,50.0,81,90,26.46,US,2021-01-27 23:33:16
231,San Patricio,28.017,-97.5169,71.6,21,1,6.91,US,2021-01-27 23:33:16
232,Sabha,27.0377,14.4283,45.88,53,0,6.08,LY,2021-01-27 23:33:16
233,Chornukhy,50.2673,32.942,32.0,98,100,12.91,UA,2021-01-27 23:33:16
234,Tucuma,-0.1833,-50.05,77.4,90,94,7.14,BR,2021-01-27 23:33:16
235,Yumen,40.2833,97.2,16.48,74,0,2.01,CN,2021-01-27 23:33:16
236,Vila Do Maio,15.1333,-23.2167,71.6,73,0,16.11,CV,2021-01-27 23:33:17
237,Srandakan,-7.9386,110.2506,75.96,87,98,5.19,ID,2021-01-27 23:33:17
238,Olenino,56.2092,33.4889,23.11,99,99,4.41,RU,2021-01-27 23:33:17
239,San Cristobal,7.7669,-72.225,82.4,61,40,6.91,VE,2021-01-27 23:33:17
240,Ancud,-41.8697,-73.8203,62.01,63,20,9.22,CL,2021-01-27 23:33:17
241,Chihuahua,28.5,-106.0,51.8,30,75,11.5,MX,2021-01-27 23:29:50
242,Jinka,5.65,36.65,64.67,37,9,2.51,ET,2021-01-27 23:33:17
243,Peniche,39.3558,-9.3811,57.99,95,100,8.99,PT,2021-01-27 23:33:17
244,Talnakh,69.4865,88.3972,-28.01,82,61,3.83,RU,2021-01-27 23:33:18
245,Mecca,21.4267,39.8261,72.23,80,14,3.51,SA,2021-01-27 23:33:18
246,Haines Junction,60.7522,-137.5108,-16.6,63,82,1.14,CA,2021-01-27 23:33:18
247,Nishihara,26.1842,127.7558,64.4,63,75,17.27,JP,2021-01-27 23:28:34
248,Saint Anthony,45.0205,-93.218,14.0,57,90,3.44,US,2021-01-27 23:33:18
249,Mehamn,71.0357,27.8492,24.8,58,75,14.97,NO,2021-01-27 23:29:42
250,Upata,8.0086,-62.3989,77.0,84,100,4.0,VE,2021-01-27 23:33:18
251,Mufumbwe,-13.6833,24.8,62.47,95,100,3.58,ZM,2021-01-27 23:33:18
252,Leningradskiy,69.3833,178.4167,-16.69,87,100,3.65,RU,2021-01-27 23:33:19
253,Ust-Maya,60.4167,134.5333,-42.07,78,99,1.52,RU,2021-01-27 23:33:19
254,Sao Miguel Do Araguaia,-13.275,-50.1628,74.34,87,88,3.38,BR,2021-01-27 23:33:19
255,Pedernales,18.0384,-71.744,77.0,65,2,5.41,DO,2021-01-27 23:33:19
256,Chipata,-13.6333,32.65,64.56,96,95,2.98,ZM,2021-01-27 23:33:19
257,Iskateley,67.6803,53.1512,-4.38,92,100,17.81,RU,2021-01-27 23:33:19
258,Moussoro,13.6408,16.4901,69.31,17,9,10.18,TD,2021-01-27 23:33:19
259,Kaliganj,23.4095,89.1402,50.88,46,7,5.55,BD,2021-01-27 23:33:19
260,Kainantu,-6.2887,145.8655,64.4,92,100,2.66,PG,2021-01-27 23:33:20
261,Kendal,54.3268,-2.7476,43.0,98,100,1.99,GB,2021-01-27 23:33:20
262,Santa Catalina,9.3337,122.8637,75.2,88,75,4.61,PH,2021-01-27 23:33:20
263,Xuanzhou,30.9525,118.7553,44.62,89,52,10.63,CN,2021-01-27 23:33:20
264,Sotnikovo,51.8845,107.4791,-29.2,68,81,3.18,RU,2021-01-27 23:33:20
265,Bandarbeyla,9.4942,50.8122,73.09,75,42,16.82,SO,2021-01-27 23:33:20
266,Port Elizabeth,-33.918,25.5701,62.6,82,0,4.61,ZA,2021-01-27 23:33:20
267,Aranos,-24.1333,19.1167,74.37,20,50,11.77,NA,2021-01-27 23:33:21
268,Swansea,51.6208,-3.9432,48.99,100,90,14.97,GB,2021-01-27 23:30:20
269,Troy,42.6056,-83.1499,23.0,63,1,8.05,US,2021-01-27 23:33:14
270,Vitry-Le-Francois,48.7333,4.5833,44.6,100,90,6.91,FR,2021-01-27 23:33:21
271,Ilulissat,69.2167,-51.1,6.8,51,0,3.44,GL,2021-01-27 23:33:21
272,Karema,-6.8205,30.4389,70.21,84,95,3.65,TZ,2021-01-27 23:33:21
273,Burgos,42.3394,-3.7079,50.0,100,90,9.22,ES,2021-01-27 23:33:21
274,Hambantota,6.1241,81.1185,73.9,76,32,12.03,LK,2021-01-27 23:33:21
275,Tucupita,9.0622,-62.051,72.59,89,81,5.01,VE,2021-01-27 23:33:22
276,Henties Bay,-22.116,14.2845,68.0,85,6,6.13,NA,2021-01-27 23:29:41
277,Portland,45.5234,-122.6762,45.0,76,90,11.5,US,2021-01-27 23:29:18
278,Saumur,47.3333,-0.25,54.0,94,90,11.5,FR,2021-01-27 23:33:22
279,Longyearbyen,78.2186,15.6401,6.8,66,20,16.11,SJ,2021-01-27 23:33:22
280,Coihaique,-45.5752,-72.0662,55.4,54,75,5.75,CL,2021-01-27 23:28:48
281,Mogadishu,2.0371,45.3438,76.95,85,84,18.79,SO,2021-01-27 23:33:23
