City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Luderitz,NA,-26.6481,15.1594,67.95,66,0,24.07,clear sky
183,Havelock,US,34.8791,-76.9013,55.4,100,90,10.36,moderate rain
184,East London,ZA,-33.0153,27.9116,73.4,88,0,3.44,clear sky
185,Lure,FR,47.75,6.5,44.6,93,90,8.05,overcast clouds
186,Muroto,JP,33.2833,134.15,51.53,59,12,3.4,few clouds
187,Pochutla,MX,15.7432,-96.4661,90.0,40,1,7.11,clear sky
188,Inuvik,CA,68.3499,-133.7218,-22.0,76,100,1.14,overcast clouds
189,Ascension,US,30.2169,-90.9001,71.6,56,1,6.91,clear sky
190,Aklavik,CA,68.2191,-135.0107,-13.0,77,90,10.36,snow
191,Chimbote,PE,-9.0853,-78.5783,77.43,61,4,12.44,clear sky
192,Cururupu,BR,-1.8283,-44.8683,87.12,60,43,8.14,scattered clouds
193,Itupiranga,BR,-5.1347,-49.3267,89.6,66,75,6.91,broken clouds
194,Deputatskiy,RU,69.3,139.9,-33.59,86,98,1.48,overcast clouds
195,Moche,PE,-8.1711,-79.0092,71.6,78,0,11.5,clear sky
196,Sandane,NO,61.7728,6.215,28.4,86,75,3.44,broken clouds
197,Manono,CD,-7.3,27.4167,73.6,93,100,2.71,moderate rain
198,Umm Lajj,SA,25.0213,37.2685,71.01,52,0,12.01,clear sky
199,Miyako,JP,39.6367,141.9525,23.43,87,0,5.73,clear sky
200,La Paz,BO,-16.5,-68.15,58.5,53,42,4.16,moderate rain
201,Tuatapere,NZ,-46.1333,167.6833,51.49,86,83,4.97,broken clouds
202,Arraial Do Cabo,BR,-22.9661,-42.0278,86.0,51,0,23.02,clear sky
203,Muzhi,RU,65.3667,64.6667,-18.02,87,93,4.83,overcast clouds
204,Inhambane,MZ,-23.865,35.3833,84.2,74,20,9.22,few clouds
205,Azanka,RU,58.0401,64.7893,10.44,96,80,4.5,broken clouds
206,Cockburn Town,TC,21.4612,-71.1419,78.8,53,40,13.8,scattered clouds
207,Ribeira Grande,PT,38.5167,-28.7,64.4,88,75,14.97,broken clouds
208,Merrill,US,45.1805,-89.6835,30.2,74,90,8.05,overcast clouds
209,Interlaken,US,36.9513,-121.7338,55.99,66,1,3.0,clear sky
210,Erenhot,CN,43.6475,111.9767,-4.74,90,0,7.61,clear sky
211,College,US,64.8569,-147.8028,-5.8,77,90,0.25,mist
212,Husavik,IS,66.0449,-17.3389,6.8,78,0,2.3,clear sky
213,Vila Franca Do Campo,PT,37.7167,-25.4333,64.0,88,75,16.11,broken clouds
214,Chokurdakh,RU,70.6333,147.9167,-28.61,85,18,10.54,few clouds
215,Sawtell,AU,-30.3833,153.1,69.8,94,40,1.14,scattered clouds
216,Birao,CF,10.2849,22.7882,79.65,17,0,5.19,clear sky
217,Lufilufi,WS,-13.8745,-171.5986,80.6,94,90,20.65,overcast clouds
218,Magaria,NE,12.9983,8.9099,74.01,19,7,5.57,clear sky
219,Alice Springs,AU,-23.7,133.8833,80.01,41,15,4.61,few clouds
220,Tucumcari,US,35.1717,-103.725,48.2,40,1,10.36,clear sky
221,Tessalit,ML,20.1986,1.0114,72.05,16,56,9.66,broken clouds
222,Cutervo,PE,-6.379,-78.8157,63.75,63,51,8.08,broken clouds
223,Montrose,US,38.4166,-108.2673,34.0,59,40,3.0,scattered clouds
224,Sangar,RU,63.9242,127.4739,-48.5,76,74,4.81,broken clouds
225,Novonukutskiy,RU,53.7002,102.7117,-35.12,80,0,1.79,clear sky
226,Lagoa,PT,39.05,-27.9833,61.92,89,99,28.36,overcast clouds
227,Kavaratti,IN,10.5669,72.642,81.52,74,0,8.12,clear sky
228,Clifton,US,40.8584,-74.1638,24.8,58,90,3.8,light snow
229,Nioro,GM,13.35,-15.75,99.39,8,66,7.45,broken clouds
230,Muros,ES,42.7762,-9.0603,57.99,86,100,5.01,overcast clouds
231,Makakilo City,US,21.3469,-158.0858,71.6,78,75,3.44,broken clouds
232,Port Lincoln,AU,-34.7333,135.8667,62.49,77,99,11.81,overcast clouds
233,Birin,NP,26.8865,88.0718,42.87,80,26,3.24,scattered clouds
234,Hobart,AU,-42.8794,147.3294,60.8,72,30,5.75,scattered clouds
235,Ixtapa,MX,20.7,-105.2,77.0,57,1,5.75,clear sky
236,Pervomayskoye,RU,43.919,46.7102,41.67,84,96,2.46,overcast clouds
237,Tecoanapa,MX,16.5167,-98.75,82.2,64,68,7.94,broken clouds
238,Vostok,RU,46.4856,135.8833,-8.54,87,55,3.22,broken clouds
239,Marrakesh,MA,31.6315,-8.0083,69.8,40,0,9.22,clear sky
240,Kontagora,NG,10.3999,5.4695,87.24,13,16,4.76,few clouds
241,Kharod,IN,21.75,82.5667,58.55,30,0,7.58,clear sky
242,Scicli,IT,36.7902,14.7014,50.0,87,33,6.91,scattered clouds
243,Summerville,US,33.0185,-80.1757,62.01,82,90,20.71,light rain
244,Asau,RO,46.4333,26.4,30.0,69,100,3.44,overcast clouds
245,Prieska,ZA,-29.6641,22.7474,84.52,11,0,12.06,clear sky
246,Aasiaat,GL,68.7098,-52.8699,-2.79,92,73,9.64,broken clouds
247,Tigil,RU,57.8,158.6667,-5.4,92,94,4.97,overcast clouds
248,Thunder Bay,CA,48.4001,-89.3168,30.99,93,90,12.66,overcast clouds
249,Kutum,SD,14.2,24.6667,63.73,27,1,5.44,clear sky
250,Margate,GB,51.3813,1.3862,39.0,93,100,4.0,light rain
251,Bandarbeyla,SO,9.4942,50.8122,74.7,68,0,17.45,clear sky
252,Mareeba,AU,-17.0,145.4333,77.0,83,96,5.75,overcast clouds
253,Solnechnyy,RU,50.7214,136.6319,-17.37,84,19,2.89,few clouds
254,Necochea,AR,-38.5473,-58.7368,64.0,54,84,7.0,broken clouds
255,Kerema,PG,-7.9631,145.7785,75.65,94,99,12.1,overcast clouds
256,Saint George,US,37.1041,-113.5841,46.99,75,1,4.43,clear sky
257,Kyzyl-Suu,KG,42.3414,78.0056,26.76,75,55,6.64,broken clouds
258,Zaozerne,UA,45.1582,33.2787,46.99,71,71,3.0,broken clouds
259,Bengkulu,ID,-3.8004,102.2655,75.85,85,100,5.1,light rain
260,Olavarria,AR,-36.8927,-60.3225,79.02,20,63,12.97,broken clouds
261,Turukhansk,RU,65.8167,87.9833,-14.6,83,100,10.76,overcast clouds
262,Batagay-Alyta,RU,67.8006,130.4114,-32.85,82,100,1.99,overcast clouds
263,Vila Velha,BR,-20.3297,-40.2925,89.01,62,20,20.71,few clouds
264,Bizhbulyak,RU,53.6967,54.2642,21.47,93,46,13.24,scattered clouds
265,Middelkerke,BE,51.1558,2.8418,35.6,93,75,12.66,light rain
266,Cap Malheureux,MU,-19.9842,57.6142,81.0,75,58,8.99,broken clouds
267,Westport,US,41.1415,-73.3579,25.0,45,1,5.12,clear sky
268,Skjervoy,NO,70.0311,20.9714,19.4,93,75,3.44,light snow
269,Usinsk,RU,65.9939,57.5281,7.0,95,97,10.31,overcast clouds
270,Mnogovershinnyy,RU,53.9353,139.9242,-22.79,83,0,6.73,clear sky
271,Rassvet,RU,46.8333,40.75,41.34,91,100,11.5,overcast clouds
272,Aquiraz,BR,-3.9014,-38.3911,86.0,70,20,18.41,few clouds
273,Victoria,HK,22.2855,114.1577,64.99,76,41,10.29,scattered clouds
274,Anadyr,RU,64.75,177.4833,0.0,85,90,29.08,heavy snow
275,Voyvozh,RU,62.892,54.9635,22.68,98,100,12.77,light snow
276,Tilichiki,RU,60.4667,166.1,-9.69,91,100,19.26,light snow
277,Omsukchan,RU,62.5333,155.8,-37.95,78,100,6.44,overcast clouds
278,Sestri Levante,IT,44.2732,9.3968,50.0,74,16,5.68,few clouds
279,Chara,RU,56.9064,118.2631,-32.31,75,100,3.38,overcast clouds
280,Camopi,GF,3.1655,-52.3158,78.78,93,63,5.93,broken clouds
281,Suoyarvi,RU,62.0833,32.35,15.53,97,99,1.97,light snow
282,Homer,US,59.6425,-151.5483,17.6,79,1,3.44,clear sky
283,Saint-Philippe,RE,-21.3585,55.7679,80.6,65,0,8.05,light rain
284,Straubing,DE,48.8833,12.5667,30.99,10,12,4.38,few clouds
285,Am Timan,TD,11.0297,20.2827,82.51,18,0,3.44,clear sky
286,Oudtshoorn,ZA,-33.5907,22.2014,71.6,83,75,3.44,broken clouds
287,Fagernes,NO,60.9858,9.2324,8.01,85,0,3.11,clear sky
288,Ellisras,ZA,-23.6649,27.7443,81.36,55,88,4.0,overcast clouds
289,Hellin,ES,38.5106,-1.701,55.99,87,75,18.41,broken clouds
290,Stykkisholmur,IS,65.0757,-22.7297,23.07,94,100,5.55,snow
291,Sri Aman,MY,1.2376,111.4621,77.0,94,100,1.41,light rain
292,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.58,69,47,11.95,scattered clouds
293,Kabalo,CD,-6.05,26.9167,72.95,95,100,1.9,light rain
294,Raudeberg,NO,61.9875,5.1352,30.2,100,90,4.61,overcast clouds
295,Rocha,UY,-34.4833,-54.3333,67.03,78,100,12.86,overcast clouds
296,Aykhal,RU,66.0,111.5,-39.3,79,100,9.73,overcast clouds
297,Iberia,US,29.9502,-91.7507,66.2,52,1,14.97,clear sky
298,Beysehir,TR,37.6773,31.7246,39.34,77,75,7.34,broken clouds
299,Cidreira,BR,-30.1811,-50.2056,82.47,76,99,5.14,overcast clouds
300,Tornio,FI,65.8481,24.1466,12.2,92,100,6.91,light snow
301,Kaura Namoda,NG,12.5898,6.5779,79.57,16,26,7.31,scattered clouds
302,Alihe,CN,50.5667,123.7167,-23.58,84,73,2.91,broken clouds
303,Norman Wells,CA,65.282,-126.8329,-20.2,76,75,2.3,broken clouds
304,Karema,TZ,-6.8205,30.4389,74.62,80,98,3.98,light rain
305,Lamu,KE,-2.2717,40.902,78.8,78,1,11.5,clear sky
306,Sakakah,SA,29.9697,40.2064,55.4,30,0,3.44,clear sky
307,Tiksi,RU,71.6872,128.8694,-26.27,86,100,6.51,overcast clouds
308,Machhlishahr,IN,25.6833,82.4167,51.8,82,0,2.8,mist
309,Fort Beaufort,ZA,-32.7748,26.6338,70.16,85,6,6.98,clear sky
310,Bairiki,KI,1.3292,172.9752,78.8,89,40,9.22,scattered clouds
311,Pisco,PE,-13.7,-76.2167,77.0,61,0,8.05,clear sky
312,Eydhafushi,MV,5.1033,73.0708,82.69,70,36,10.58,scattered clouds
313,Marystown,CA,47.1666,-55.1483,34.23,86,91,17.13,overcast clouds
314,Vanimo,PG,-2.6741,141.3028,77.63,90,100,10.78,moderate rain
315,Shangzhi,CN,45.2167,127.9667,-0.51,93,100,7.09,light snow
316,Haines Junction,CA,60.7522,-137.5108,-13.0,84,86,1.74,overcast clouds
317,Kloulklubed,PW,7.0419,134.2556,80.6,78,75,8.05,broken clouds
318,Kamen-Na-Obi,RU,53.7884,81.3423,-0.89,87,82,6.08,broken clouds
319,Vredendal,ZA,-31.6683,18.5012,68.0,81,3,11.43,clear sky
320,Rundu,NA,-17.9333,19.7667,69.67,89,95,4.7,light rain
321,Klaksvik,FO,62.2266,-6.589,26.6,68,75,5.75,broken clouds
322,Baruun-Urt,MN,46.6806,113.2792,-16.53,86,84,5.12,broken clouds
323,Shimoda,JP,34.6667,138.95,36.0,64,79,7.07,broken clouds
324,Miandrivazo,MG,-19.5167,45.4667,82.08,77,60,0.89,broken clouds
325,Guerrero Negro,MX,27.9769,-114.0611,65.03,35,92,1.45,overcast clouds
326,Abu Samrah,SY,35.3029,37.1841,49.26,80,9,9.15,clear sky
327,Xichang,CN,27.8964,102.2634,40.57,72,4,2.17,clear sky
328,Yar-Sale,RU,66.8333,70.8333,-6.72,91,100,7.23,overcast clouds
329,Tocache,PE,-8.1842,-76.5125,89.13,50,58,1.25,broken clouds
330,Kuna,US,43.4918,-116.4201,42.01,75,0,4.0,clear sky
331,Sibu,MY,2.3,111.8167,77.0,100,40,0.87,moderate rain
332,Gallup,US,35.5281,-108.7426,33.8,64,1,8.05,clear sky
333,Meulaboh,ID,4.1363,96.1285,76.53,87,79,4.81,broken clouds
334,Comodoro Rivadavia,AR,-45.8667,-67.5,73.4,49,40,20.71,scattered clouds
335,Yining,CN,29.0361,114.5636,48.54,91,97,1.39,light rain
336,Zunyi,CN,27.6867,106.9072,43.99,87,100,2.06,overcast clouds
337,Andenes,NO,69.3143,16.1194,30.2,93,90,23.02,light snow
338,Fairbanks,US,64.8378,-147.7164,-5.8,84,90,0.38,light snow
339,Thinadhoo,MV,0.5333,72.9333,82.65,74,100,12.01,overcast clouds
340,Sandakan,MY,5.8402,118.1179,80.6,83,20,10.36,few clouds
341,Champerico,GT,14.3,-91.9167,89.6,51,0,9.22,clear sky
